Timesheet_Timesheet;Tuntikorttit
Timesheet_Euro;€
Timesheet_Fullname;Nimi
Timesheet_Username;Käyttäjän nimi
Timesheet_Next;Seuraava käsittelijä
Timesheet_Status;Status
Timesheet_Agreeement_Id;Työsopimus
Timesheet_Timesheet_Name;Selite
Timesheet_Refresh;Lataa
Timesheet_Refresh_Tooltip;Lataa tuntikortit tästä napista uudestaan
Timesheet_Search;Etsi
Timesheet_Page;Sivu
Timesheet_No_Timesheets;Ei yhtään tuntikorttia
Timesheet_Edit_Timesheet;Muokkaa valittua tuntikorttia
Timesheet_Edit_Timesheet_Tooltip;Muokkaa valittua tuntikorttia tästä napista
Timesheet_Create_New;Lisää uusi tuntikortti
Timesheet_Create_New_Tooltip;Lisää uusi tuntikortti tästä napista
Timesheet_Agreement;Työsopimus
Timesheet_Submit;Tallenna
Timesheet_Close;Peruuta
Timesheet_Sending;Tallentaa
Timesheet_Success;Onnistui
Timesheet_Error;Virhe
Timesheet_Success_Text;Tuntikortin luonti onnistui
Timesheet_Access_Denied;Ei oikeuksia
Timesheet_Access_Denied_Text;Tuntikortti on käsittelyssä toisella käyttäjällä 
Timesheet_Memo;Memo
Timesheet_Occupation;Ammattinimike
Timesheet_Order_Id;Tilausvahvistus
Timesheet_Time_Value_Incorect;Syötit työtunnin virhellisessä desimaalimuodossa! Sallitut desimaalit ovat .0, .00, .25, .5, .50 ja .75!
Timesheet_You_Are_Not_Allowed;Ei oikeuksia
Timesheet_Start_Date;Aloituspäivä
Timesheet_Date_Completed;Lopetuspäivä
Timesheet_Permanent;Toistaiseksi
Timesheet_True;Kyllä
Timesheet_False;Ei
Timesheet_Agree_Agreement;Kuittaa luetuksi
Timesheet_Agree_Agreement_Tooltip;Kuittaa luetuksi työsuojelu tästä napista
Timesheet_Agree_Agreement_Alert_Title;Työsuojelu- ja työturvallisuusohje
Timesheet_Agree_Agreement_Alert_Text;"Pyydämme sinua ystävällisesti perehtymään oheiseen työturvallisuus- ja työsuojeluohjeeseen. Luettuasi ohjeen, ole hyvä ja kuittaa se luetuksi painamalla selainikkunan vasemmassa alakulmassa olevaa ""Kuittaa luetuksi""-painiketta. Ohje kuitataan luetuksi vain tämän kerran, eikä sitä näytetä sinulle enää jatkossa. Kuitattuasi ohjeen luetuksi pääset hallinnoimaan tuntikorttejasi."
Timesheet_Timesheet_Created;Loi tuntikortin
Timesheet_Sent_To_Customer;Lähetti tuntikortin tarkastettavaksi asiakkaalle
Timesheet_Employee_Timesheet;Työntekijän tuntikortti
hour_status_id;Status
project_id;Projekti ja/tai Kustannuspaikka
action_date;PVM
action_time_start;Aloitusaika
action_time_end;Lopetusaika
NORMI_PAIVA;norm.
la;la
su;su
lisat_ilta;Iltalisä
lisat_yo;Yölisä
ylityo_vrk_50;Ylityö vrk 50
ylityo_vrk_100;Ylityö vrk 100
ylityo_viik_50;Ylityö viik 50
ylityo_viik_100;Ylityö viik 100
ATV;ATV
matka_tunnit;Matkatunnit
paivaraha_osa;Osapäiväraha
paivaraha_koko;Kokopäiväraha
ateria_korvaus;Ateriakorvaus
km_korvaus;Kilometrikorvaus
tyokalu_korvaus;Työkalukorvaus
km_description;Kilometrikorvauksen selite
HUOMIOITA;HOUMIOITA
memo;Memo
