Qualifications_Qualifications;Pätevyysluettelo
Qualifications_Refresh;Päivitä
Qualifications_New_Qualification;Lisää uusi pätevyys
Qualifications_Education_Name;Pätevyyden nimi
Qualifications_Education_Type;Pätevyyden typpi
Qualifications_Search;Etsi
Qualifications_No_Qualifications;Ei pätevyyksiä
Qualifications_Submit;Lisää uusi pätevyys
Qualifications_Close;Peruuta
Qualifications_New_Education;Uusi pätevyys
Qualifications_Error;Error
Qualifications_Success;Onnistui
Qualifications_Sending;Lähettää
Qualifications_New_Education_Greated;Uusi pätevyys luotu
Qualifications_Delete;Poista pätevyys
Qualifications_Delete_Tooltip;Poista pätevyys tästänapista
Qualifications_Are_You_Sure;Oletko varma
Qualifications_Are_You_Sure_Text;Toimintoa ei voi peruutta
Qualifications_Page;Sivu
