
Timesheetconfig_Timesheetconfig;Sähköpostiasetukset
Timesheetconfig_Financial_Id;Tuntikortin loppukäsittelijän ID
Timesheetconfig_Config_Information;Sähköposti asetukset
Timesheetconfig_Timesheet_Config;Asetukset
Timesheetconfig_Submit;Tallenna asetukset
Timesheetconfig_Loading;Lataa asetuksia
Timesheetconfig_Warning;Virhe ladattaessa asetuksia
Timesheetconfig_Error;Virhe tallennettaessa asetuksia
Timesheetconfig_Sending;Tallentaa asetuksia
Timesheetconfig_Success;Asetukset tallennettu
Timesheetconfig_Success_Text;Asetusten tallennus onnistui
Timesheetconfig_Salary;Yleinen sähköpostiosoite
Timesheetconfig_Compilation;HRM: Kooste työsopimusten, pätevyyksien ja koeaikojen päättymisestä
Timesheetconfig_Subject;Otsikko
Timesheetconfig_Body_HTML;HTML
Timesheetconfig_Body_TEXT;Teksti
Timesheetconfig_Timesheet;HRM: Asiakkaan muistutus käsittelemättömistä tuntikorteista
Timesheetconfig_Cron;Ostot: Käsittelemättömät laskut
Timesheetconfig_Due_Dates;Ostot: Eräpäivät
Timesheetconfig_Employee;HRM: Työntekijältä asiakkaalle lähtevä sähköposti
Timesheetconfig_Customer_Agrees;HRM: Asiakas hyväksyy tuntikortin
Timesheetconfig_Customer_Disagrees;HRM: Asiakas hylkää tuntikortin
Timesheetconfig_Admin_Agrees;HRM: Pääkäyttäjä hyväksyy tuntikorit
Timesheetconfig_Admin_Disagrees;HRM: Pääkäyttäjä hylkää tuntikorit
Timesheetconfig_Agreements_Variable_Description;Listaus päättyvistä työsopimuksista
Timesheetconfig_Qualifications_Variable_Description;Listaus päättyvistä pätevyyksistä
Timesheetconfig_Trials_Variable_Description;Listaus päättyvistä koeajoista
Timesheetconfig_Fullname_Variable_Description;Vastaan ottajan nimi
Timesheetconfig_Fullname_Employee_Variable_Description;Työntekijän nimi
Timesheetconfig_Start_Date_Variable_Description;Tuntikortin alkamispäivämäärä
Timesheetconfig_End_Date_Variable_Description;Tuntikortin loppumispäivämäärä
Timesheetconfig_Workplace_Variable_Description;Työkohteen nimi
Timesheetconfig_Company_Name_Variable_Description;Yhtiön nimi
Timesheetconfig_Switch_Phonenumber_Variable_Description;Vaihteen puhelinnumero
Timesheetconfig_Company_Email_Variable_Description;Yhtiön sähköpostiosoite
Timesheetconfig_Customer_Person_Company_Variable_Description;Asiakkaan yritys
Timesheetconfig_Customer_Person_Name_Variable_Description;Asiakkaan henkilönimi
Timesheetconfig_Customer_Person_Email_Variable_Description;Asiakkaan sähköpostiosoite
Timesheetconfig_Erp_Link_Variable_Description;Linkki ERP:hen
Timesheetconfig_Username_Variable_Description;Vastaan ottajan käyttäjänimi
