Workplaces_Workplaces;Työkohteet
Workplaces_Refresh;Päivitä
Workplaces_New_Workplace;Uusi käyttäjä
Workplaces_New_Workplace_Tooltip;Lisää uusi käyttäjä tästä napista
Workplaces_Workplace_Name;Yhtiö
Workplaces_Contact_Person_Name;Yhteyshenkilön nimi
Workplaces_Search;Etsi
Workplaces_No_Workplaces;Ei työkohteita
Workplaces_Submit;Tallenna
Workplaces_Close;Peruuta
Workplaces_New_Workplace;Uusi käyttäjä
Workplaces_Error;Virhe
Workplaces_Success;Onnistui
Workplaces_Sending;Lähettää
Workplaces_New_Workplace_Created;Uusi käyttäjä luotu
Workplaces_Delete;Poista työkohde
Workplaces_Delete_Tooltip;Poista työkohde tästänapista
Workplaces_Are_You_Sure;Oletko varma
Workplaces_Are_You_Sure_Text;Toimintoa ei voi peruutta
Workplaces_Page;Sivu
Workplaces_Contact_Person_Phone;Puhelinnumero
Workplaces_Contact_Person_Email;Sähköpostiosoite
Workplaces_Username;Käyttäjänimi
Workplaces_Password;Salasana
Workplaces_Verify;Vahvista salasana
Workplaces_Contact_Person_Firstname;Etunimi
Workplaces_Contact_Person_Lastname;Sukunimi
Workplaces_Order_Id;Tilausvahvistus
Workplaces_Password_Verify_Failure;Salasanan varmistus on virheellinen
Workplaces_Customer_Address;Asiakkaan viite
Workplaces_Customer_Target;Työn kohde
Workplaces_Add_Resourse;Lisää resurssi
Workplaces_Add_Resourse_Tooltip;Lisää resurssi tästä napista
Workplaces_Refresh_Employees;Päivitä
Workplaces_Refresh_Employees_Tooltip;Päivitä työntekijät tästä napista
Workplaces_No_Employees;Ei työntekijöitä
Workplaces_Fullname;Kokonimi
Workplaces_Employee_Name;Työntekijän nimi
Workplaces_Delete_Resource;Poista resurssi
Workplaces_Delete_Resource_Tooltip;Poista resurssi tästä napista
Workplaces_Resource_Added;Resurssi lisätty työkohteeseen
Workplaces_Resource_Deleted;Resurssi poistettu työkohteesta
Workplaces_New_Without_Workplace;Uusi työkohde
Workplaces_New_Without_Workplace_Tooltip;Lisää uusi työkohde tästä napista
Workplaces_Start_Date;Aloituspäivä
Workplaces_Date_Completed;Lopetuspäivä
Workplaces_Permanent;Toistaiseksi
Workplaces_True;Kyllä
Workplaces_False;Ei
Workplaces_Project_Id;Projekti
Workplaces_Profitcenter_Id;Kustannuspaikka
Workplaces_Email_Subject_Text_1;HRM-ilmoitus
Workplaces_Email_Body_Text_1;Vaihda salasana ensimmäisellä kirjautumisella.
Workplaces_Email_Subject_Text_6;Käyttäjätunnus
Workplaces_Email_Body_Text_6;Sinulle on luotu käyttäjätunnus HRM:n
Workplaces_Email_Body_Text_2;Käyttäjätunnus
Workplaces_Email_Body_Text_3;Salasana
Workplaces_Accepter;Hyväksyjä
Workplaces_New_User_Created;Uusi käyttäjä luotu
Workplaces_User_Name_Is_Already_Used;Käyttäjä tunnus on jo olemassa
Workplaces_Change_Accepter;Vaihda hyväksyjä
Workplaces_Change_Accepter_Tooltip;Vaihda hyväksyjä tästä napista
